Age_GICC05+AICC12	d18	dD
12.241000	-38.074	-295.39
12.261000	-38.165	-294.70
12.281000	-40.990	-317.66
12.301000	-40.375	-312.38
12.321000	-40.972	-319.52
12.341000	-41.516	-322.72
12.361000	-40.904	-316.60
12.381000	-42.821	-332.66
12.401000	-40.677	-315.18
12.421000	-38.997	-301.73
12.441000	-41.101	-318.58
12.461000	-41.203	-319.86
12.481000	-40.337	-313.92
12.501000	-41.046	-319.28
12.521000	-39.964	-308.26
12.541000	-41.510	-321.80
12.561000	-40.293	-313.47
12.581000	-40.304	-314.10
12.601000	-44.245	-343.87
12.621000	-42.295	-329.29
12.641000	-44.141	-343.44
12.661000	-41.429	-321.27
12.681000	-39.264	-303.29
12.701000	-43.324	-338.42
12.721000	-42.654	-333.92
12.741000	-44.178	-343.97
12.761000	-41.842	-324.55
12.781000	-39.203	-304.47
12.801000	-42.247	-328.47
12.821000	-40.438	-314.91
12.841000	-38.330	-299.22
12.861000	-38.511	-300.39
12.881000	-36.683	-283.82
12.901000	-38.679	-300.95
12.921000	-37.891	-297.15
12.941000	-36.041	-280.37
12.961000	-39.622	-308.28
12.981000	-36.250	-283.05
13.001000	-40.258	-314.36
13.021000	-37.848	-294.60
13.041000	-36.990	-289.91
13.061000	-40.386	-314.21
13.081000	-39.094	-304.98
13.101000	-39.386	-306.32
13.121000	-38.406	-299.86
13.141000	-41.202	-322.24
13.161000	-40.026	-311.99
13.181000	-41.072	-321.44
13.201000	-39.913	-311.35
13.221000	-40.232	-314.55
13.241000	-38.024	-295.85
13.261000	-37.253	-289.49
13.281000	-38.762	-302.12
13.301000	-35.562	-277.56
13.321000	-39.452	-309.90
13.341000	-38.016	-295.90
13.361000	-36.415	-284.33
13.381000	-35.047	-273.34
13.401000	-38.175	-297.92
13.421000	-40.055	-313.89
13.441000	-36.837	-287.29
13.461000	-38.075	-297.44
13.481000	-36.228	-282.99
13.501000	-36.935	-289.10
13.521000	-38.303	-301.25
13.541000	-35.898	-279.14
13.561000	-36.098	-280.91
13.581000	-36.075	-281.49
13.601000	-35.113	-272.88
13.621000	-39.433	-309.17
13.641000	-38.565	-299.95
13.661000	-36.731	-285.31
13.681000	-37.763	-296.27
13.701000	-35.846	-278.87
13.721000	-36.322	-285.51
13.741000	-37.891	-296.16
13.761000	-37.360	-291.17
13.781000	-37.318	-290.50
13.801000	-39.062	-308.11
13.821000	-35.793	-280.42
13.841000	-37.609	-295.56
13.861000	-37.415	-292.44
13.881000	-38.633	-303.89
13.901000	-36.249	-282.00
13.921000	-35.973	-281.19
13.941000	-37.229	-290.95
13.961000	-37.154	-291.39
13.981000	-37.630	-295.39
14.001000	-36.447	-283.63
14.021000	-41.074	-322.52
14.041000	-38.904	-303.44
14.061000	-38.167	-297.83
14.081000	-41.070	-322.88
14.101000	-35.585	-279.05
14.121000	-36.216	-283.11
14.141000	-35.559	-278.43
14.161000	-39.266	-306.46
14.181000	-36.075	-282.90
14.201000	-35.679	-278.66
14.221000	-35.995	-282.92
14.241000	-34.618	-270.58
14.261000	-36.150	-283.74
14.281000	-36.098	-283.04
14.301000	-34.919	-273.57
14.321000	-33.981	-266.15
14.341000	-36.888	-289.80
14.361000	-36.169	-283.40
14.381000	-38.749	-303.72
14.401000	-35.927	-281.48
14.421000	-35.132	-275.31
14.441000	-34.356	-268.41
14.461000	-34.655	-271.48
14.481000	-32.533	-253.65
14.501000	-34.012	-268.56
14.521000	-33.519	-262.87
14.541000	-34.636	-269.30
14.561000	-34.891	-272.77
14.581000	-35.073	-274.87
14.601000	-35.343	-278.18
14.621000	-36.361	-284.68
14.641000	-36.033	-281.77
14.661000	-37.049	-291.25
14.681000	-35.806	-281.41
14.701000	-39.312	-306.35
14.721000	-43.074	-337.48
14.741000	-41.709	-324.15
14.761000	-37.051	-288.32
14.781000	-41.261	-323.28
14.801000	-41.106	-320.98
14.821000	-41.084	-319.78
14.841000	-40.722	-317.42
14.861000	-40.034	-310.87
14.881000	-43.965	-343.96
14.901000	-40.063	-312.44
14.921000	-38.104	-295.59
14.941000	-37.650	-294.10
14.961000	-39.725	-308.86
14.981000	-40.054	-312.19
15.001000	-41.656	-324.13
15.021000	-40.686	-315.78
15.041000	-37.773	-292.92
15.061000	-43.565	-338.99
15.081000	-42.045	-326.50
15.101000	-43.036	-336.22
15.121000	-42.600	-330.25
15.141000	-39.015	-303.34
15.161000	-37.618	-292.32
15.181000	-40.095	-312.04
15.201000	-40.554	-316.41
15.221000	-38.288	-297.07
15.241000	-39.856	-310.56
15.261000	-40.044	-313.87
15.281000	-39.200	-305.15
15.301000	-43.827	-343.23
15.321000	-40.326	-315.26
15.341000	-39.918	-310.43
15.361000	-41.049	-320.12
15.381000	-42.406	-332.33
15.401000	-38.788	-299.95
15.421000	-40.183	-312.64
15.441000	-39.450	-305.47
15.461000	-45.795	-359.81
15.481000	-44.553	-348.83
15.501000	-41.208	-321.86
15.521000	-40.347	-315.00
15.541000	-41.673	-325.58
15.561000	-42.462	-330.87
15.581000	-41.726	-325.03
15.601000	-40.128	-312.50
15.621000	-38.177	-296.24
15.641000	-41.634	-324.61
15.661000	-44.641	-348.37
15.681000	-39.513	-305.43
15.701000	-40.743	-317.39
15.721000	-41.314	-321.67
15.741000	-40.949	-318.91
15.761000	-39.325	-304.95
15.781000	-44.206	-345.39
15.801000	-40.528	-314.78
15.821000	-41.801	-326.04
15.841000	-41.365	-322.16
15.861000	-40.414	-314.31
15.881000	-39.243	-304.15
15.901000	-41.952	-327.18
15.921000	-42.377	-329.81
15.941000	-42.727	-331.66
15.961000	-39.005	-301.77
15.981000	-41.918	-326.58
16.001000	-42.807	-332.30
16.021000	-40.369	-315.26
16.041000	-38.681	-300.17
16.061000	-41.374	-322.22
16.081000	-39.705	-309.04
16.101000	-43.281	-335.87
16.121000	-43.078	-335.80
16.141000	-43.582	-338.70
16.161000	-44.831	-351.11
16.181000	-42.235	-330.21
16.201000	-41.362	-323.52
16.221000	-41.484	-321.71
16.241000	-40.897	-319.59
16.261000	-42.922	-335.31
16.281000	-43.841	-343.30
16.301000	-41.894	-327.43
16.321000	-40.271	-314.04
16.341000	-40.795	-316.70
16.361000	-42.831	-335.17
16.381000	-41.479	-322.51
16.401000	-40.589	-316.40
16.421000	-44.256	-345.19
16.441000	-40.472	-317.27
16.461000	-45.552	-355.46
16.481000	-39.808	-310.84
16.501000	-44.644	-349.91
16.521000	-40.805	-317.22
16.541000	-39.762	-310.65
16.561000	-40.812	-319.52
16.581000	-40.153	-314.54
16.601000	-40.059	-312.84
16.621000	-40.366	-316.10
16.641000	-44.821	-351.98
16.661000	-39.784	-310.36
16.681000	-40.037	-312.56
16.701000	-44.321	-347.70
16.721000	-39.763	-311.70
16.741000	-40.394	-314.61
16.761000	-43.896	-343.36
16.781000	-42.010	-329.54
16.801000	-40.010	-313.43
16.821000	-40.075	-313.20
16.841000	-41.957	-327.87
16.861000	-42.935	-337.29
16.881000	-41.537	-323.87
16.901000	-42.747	-333.61
16.921000	-41.064	-321.41
16.941000	-40.288	-313.92
16.961000	-42.076	-329.80
16.981000	-43.793	-344.07
17.001000	-42.080	-329.52
17.021000	-41.328	-323.34
17.041000	-43.545	-341.16
17.061000	-43.625	-340.69
17.081000	-40.402	-314.14
17.101000	-43.384	-340.05
17.121000	-44.178	-345.68
17.141000	-42.188	-329.66
17.161000	-43.760	-343.91
17.181000	-41.177	-322.69
17.201000	-42.379	-332.13
17.221000	-42.038	-328.01
17.241000	-42.335	-330.62
17.261000	-40.358	-314.95
17.281000	-42.635	-332.55
17.301000	-42.800	-334.45
17.321000	-43.961	-344.59
17.341000	-41.072	-319.48
17.361000	-45.115	-353.33
17.381000	-42.614	-332.81
17.401000	-44.627	-348.18
17.421000	-42.595	-332.51
17.441000	-41.189	-321.75
17.461000	-41.374	-323.40
17.481000	-43.145	-340.86
17.501000	-45.525	-357.26
17.521000	-44.609	-350.65
17.541000	-43.339	-339.02
17.561000	-41.509	-324.94
17.581000	-42.611	-332.49
17.601000	-41.414	-325.47
17.621000	-42.654	-333.70
17.641000	-44.577	-349.30
17.661000	-40.628	-316.45
17.681000	-41.401	-323.15
17.701000	-41.788	-328.23
17.721000	-43.683	-342.81
17.741000	-41.190	-323.77
17.761000	-41.843	-326.70
17.781000	-40.838	-320.83
17.801000	-39.937	-312.58
17.821000	-43.325	-340.23
17.841000	-42.336	-332.12
17.861000	-44.890	-353.39
17.881000	-43.114	-339.95
17.901000	-39.591	-310.49
17.921000	-41.698	-328.59
17.941000	-42.819	-335.72
17.961000	-41.384	-325.16
17.981000	-40.112	-313.29
18.001000	-41.015	-321.69
18.021000	-45.033	-352.98
18.041000	-43.091	-337.68
18.061000	-44.549	-348.35
18.081000	-40.478	-314.87
18.101000	-45.381	-355.72
18.121000	-44.127	-345.43
18.141000	-42.896	-334.76
18.161000	-43.369	-338.35
18.181000	-44.245	-346.61
18.201000	-43.910	-344.82
18.221000	-43.119	-337.22
18.241000	-44.257	-345.46
18.261000	-44.378	-347.83
18.281000	-43.608	-342.62
18.301000	-39.020	-305.58
18.321000	-41.294	-323.95
18.341000	-44.890	-353.55
18.361000	-46.930	-368.16
18.381000	-43.984	-344.29
18.401000	-42.885	-337.09
18.421000	-46.091	-360.40
18.441000	-40.738	-320.64
18.461000	-43.714	-343.27
18.481000	-42.612	-334.29
18.501000	-42.988	-338.76
18.521000	-43.908	-345.66
18.541000	-42.288	-331.25
18.561000	-44.379	-348.28
18.581000	-43.438	-341.14
18.601000	-41.281	-323.70
18.621000	-44.090	-346.60
18.641000	-43.874	-344.35
18.661000	-41.060	-321.97
18.681000	-40.457	-317.43
18.701000	-44.650	-350.50
18.721000	-40.954	-321.39
18.741000	-45.342	-356.38
18.761000	-39.305	-308.01
18.781000	-40.050	-313.51
18.801000	-44.828	-351.78
18.821000	-39.703	-310.84
18.841000	-44.056	-345.57
18.861000	-43.651	-341.52
18.881000	-43.397	-340.59
18.901000	-43.758	-342.99
18.921000	-41.811	-327.22
18.941000	-43.762	-342.59
18.961000	-41.393	-325.14
18.981000	-42.906	-334.77
19.001000	-44.261	-347.68
19.021000	-41.359	-322.42
19.041000	-40.384	-316.58
19.061000	-43.440	-342.52
19.081000	-41.246	-322.49
19.101000	-44.013	-344.92
19.121000	-42.852	-335.76
19.141000	-41.069	-322.51
19.161000	-40.348	-316.14
19.181000	-37.655	-294.34
19.201000	-40.252	-315.36
19.221000	-40.995	-322.17
19.241000	-40.711	-320.57
19.261000	-41.661	-326.28
19.281000	-44.008	-345.47
19.301000	-39.276	-308.39
19.321000	-40.805	-321.31
19.341000	-41.508	-325.60
19.361000	-40.486	-316.38
19.381000	-41.737	-327.95
19.401000	-40.284	-316.52
19.421000	-40.165	-315.53
19.441000	-42.442	-333.24
19.461000	-44.587	-349.34
19.481000	-43.268	-339.71
19.501000	-42.756	-335.60
19.521000	-41.441	-325.39
19.541000	-38.623	-301.68
